Genus;Species;Author;Family;Classification K = 2/3;Classification K = 1/2;Total OG;Total SG;BEJ (SG);CR (SG);LSUR (SG);TIR (SG);JE (SG);LEP (SG);Finegan (SG);Letcher (SG);SV (OG);LEPviejo (OG);La Martita (OG);Clark (OG);Letcher (OG);TEAMplot (OG)
Freziera;grisebachii;Krug & Urb.;Theaceae;Too rare;Too rare;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Garcinia;intermedia;(Pittier) Hammel;Clusiaceae;OG specialist;OG specialist;19;1;0;1;0;0;0;0;0;0;2;1;1;13;1;1
Genipa;americana;L.;Rubiaceae;Too rare;Too rare;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gmelina;arborea;Roxb.;Lamiaceae;Too rare;Too rare;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Goethalsia;meiantha;(Donn. Sm.) Burret;Malvaceae;SG specialist;SG specialist;76;289;4;10;133;1;4;80;9;48;0;6;0;53;2;15
Graffenrieda;galeottii;(Naudin) L. O. Williams;Melastomataceae;Too rare;Too rare;0;4;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Grias;cauliflora;L.;Lecythidaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Guarea;bullata;Radlk.;Meliaceae;OG specialist;OG specialist;64;1;0;0;0;0;0;0;0;1;2;3;0;46;2;11
Guarea;chiricana;Standl.;Meliaceae;Too rare;Generalist;5;2;0;0;0;0;0;0;0;2;0;0;0;5;0;0
Guarea;gentryi;Coronado;Meliaceae;Too rare;Exclusive OG;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
Guarea;grandiflora;DC.;Meliaceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0
Guarea;guidonia;(L.) Sleumer;Meliaceae;OG specialist;OG specialist;62;1;0;0;0;0;0;1;0;0;3;11;0;43;0;5
Guarea;hoffmanniana;C. DC.;Meliaceae;Exclusive OG;Exclusive OG;16;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1
Guarea;kegelii;Turcz;Meliaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Guarea;kunthiana;A. Juss.;Meliaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Guarea;rhopalocarpa;Radlk.;Meliaceae;OG specialist;OG specialist;51;3;0;0;0;2;0;0;1;0;0;3;0;32;1;15
Guatteria;aeruginosa;Standl.;Annonaceae;Generalist;OG specialist;39;11;0;2;4;1;0;1;0;3;0;1;1;28;2;7
Guatteria;amplifolia;Triana & Planch;Annonaceae;SG specialist;SG specialist;1;10;1;0;5;0;1;0;2;1;1;0;0;0;0;0
Guatteria;recurvisepala;R. E. Fr.;Meliaceae;Too rare;SG specialist;1;6;0;0;0;0;0;0;5;1;0;0;0;1;0;0
Guettarda;foliacea;Standl.;Rubiaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Hampea;appendiculata;(Donn. Sm.) Standl.;Malvaceae;SG specialist;SG specialist;10;63;1;1;16;5;13;1;3;23;0;0;0;10;0;0
Handroanthus;chrysanthus;(Jacq.) S. O. Grose;Bignoniaceae;Exclusive SG;Exclusive SG;0;24;5;2;0;4;11;0;0;2;0;0;0;0;0;0
Hasseltia;floribunda;Kunth;Salicaceae;Exclusive SG;Exclusive SG;0;36;0;0;0;0;0;0;35;1;0;0;0;0;0;0
Heisteria;concinna;Standl.;Olacaceae;Too rare;Exclusive OG;6;0;0;0;0;0;0;0;0;0;0;2;0;3;0;1
Henrietella;tuberculosa;(Donn. Sm.) L. 0. Wms.;Melastomataceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Hernandia;didymantha;Donn. Sm.;Hernandiaceae;Generalist;SG specialist;39;44;1;1;2;11;0;12;12;5;0;0;0;29;0;10
Hernandia;stenura;Standl.;Hernandiaceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
Hevea;brasiliensis;(Willd. ex A. Juss.) Müll. Arg.;Euphorbiaceae;Too rare;Too rare;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Hieronyma;alchorneoides;Allemao;Phyllanthaceae;Generalist;SG specialist;5;10;0;1;0;3;0;0;4;2;0;0;0;4;0;1
Hieronyma;oblonga;(Tul.) Muell.Arg.;Phyllanthaceae;Generalist;Generalist;12;10;0;1;0;0;0;2;6;1;3;0;0;9;0;0
Hippotis;panamensis;(Dwayer) C. M. Taylor;Rubiaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Hirtella;lemsii;L. 0. Wms. & Prance;Chrysobalanaceae;Too rare;OG specialist;7;1;0;1;0;0;0;0;0;0;0;0;0;4;2;1
Hirtella;media;Standl;Chrysobalanaceae;OG specialist;OG specialist;12;1;1;0;0;0;0;0;0;0;7;0;3;0;1;1
Hirtella;triandra;Sw.;Chrysobalanaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Humiriastrum;diguense;(Cuatrec.) Cuatrec;Humiriaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Hymenolobium;mesoamericanum;Lima;Fabaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
Ilex;skutchii;G. Edwin ex T. Dudley ined.;Aquifoliaceae;Generalist;Generalist;13;5;0;0;0;2;0;0;3;0;0;0;0;10;0;3
Inga;acuminata;Benth.;Fabaceae;Generalist;Generalist;12;8;0;0;0;6;0;0;1;1;0;0;1;10;1;0
Inga;alba;(SW.) Willd.;Fabaceae;Generalist;Generalist;42;28;0;5;0;1;1;12;2;7;3;1;2;23;3;10
Inga;chocoensis;Killip ex T.S. Elias;Fabaceae;Too rare;Too rare;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Inga;cocleensis;Pittier;Fabaceae;SG specialist;SG specialist;12;97;2;1;0;77;1;0;7;9;1;0;4;3;1;3
Inga;densiflora;Benth.;Fabaceae;Generalist;Generalist;6;4;0;0;0;0;0;2;2;0;0;0;0;5;1;0
Inga;jinicuil;Schltdl. & Cham ex G. Don;Fabaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Inga;leiocalycina;Benth.;Fabaceae;Generalist;Generalist;31;33;0;4;0;0;0;5;21;3;0;0;0;27;0;4
Inga;marginata;(Vell.) Mart;Fabaceae;Too rare;Too rare;3;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0
Inga;mortoniana;J. Leon;Fabaceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
Inga;oerstediana;Benth. ex Seem.;Fabaceae;Too rare;Generalist;3;4;1;0;0;1;0;0;0;2;0;0;0;3;0;0
Inga;pezizifera;Benth.;Fabaceae;Generalist;Generalist;37;24;0;4;2;0;0;14;1;3;0;2;6;26;0;3
Inga;punctata;Willd.;Fabaceae;Exclusive SG;Exclusive SG;0;28;0;0;0;0;0;0;27;1;0;0;0;0;0;0
Inga;ruiziana;G. Don;Fabaceae;Too rare;Too rare;1;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0
Inga;samanensis;Uribe;Fabaceae;Too rare;Exclusive SG;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0
Inga;sapindoides;Willd.;Fabaceae;Generalist;Generalist;5;9;0;0;1;0;0;2;0;6;0;0;0;3;0;2
Inga;sertulifera;DC.;Fabaceae;Too rare;Generalist;6;2;0;0;0;1;0;0;1;0;1;1;0;1;3;0
Inga;spectabilis;(Vahl) Willd.;Fabaceae;Generalist;SG specialist;2;8;0;0;0;0;8;0;0;0;0;0;0;0;2;0
Inga;stenophylla;Standl.;Fabaceae;Too rare;Too rare;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Inga;thibaudiana;DC.;Fabaceae;SG specialist;SG specialist;35;160;0;0;5;0;0;10;130;15;0;1;0;31;0;3
Inga;tonduzii;Donn. Sm.;Fabaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Inga;umbellifera;(Vahl) Steud.;Fabaceae;Generalist;Generalist;9;13;0;2;0;0;0;2;6;3;1;0;1;4;0;3
Inga;venusta;Standl.;Fabaceae;Too rare;Generalist;8;2;0;0;0;0;0;1;1;0;3;2;3;0;0;0
Iriartea;deltoidea;Ruiz & Pavon;Arecaceae;OG specialist;OG specialist;564;57;0;3;3;0;0;48;0;3;27;31;17;394;17;78
Jacaranda;copaia;(Aubl.) D. Don;Bignoniaceae;SG specialist;SG specialist;5;56;1;0;34;1;1;0;17;2;0;0;1;2;0;2
Jacaratia;dolichaula;(Donn. Sm.) Woodson;Caricaceae;Too rare;OG specialist;6;1;0;0;0;0;0;0;0;1;0;0;0;6;0;0
Lacistema;aggregatum;(Berg.) Rusby;Lacistemataceae;Too rare;OG specialist;6;1;0;0;0;0;0;0;0;1;0;0;1;5;0;0
Lacmellea;panamensis;(Woodson) Markgr.;Apocynaceae;Generalist;OG specialist;26;7;0;1;0;2;0;0;2;2;5;2;0;14;0;5
Lacunaria;panamensis;(Standl.) Standl.;Quiinaceae;Exclusive OG;Exclusive OG;23;0;0;0;0;0;0;0;0;0;6;1;0;14;0;2
Laetia;procera;(Poepp.) Eichl.;Salicaceae;SG specialist;SG specialist;79;561;2;71;2;2;3;70;353;58;3;4;15;43;6;8
Lecythis;ampla;Miers;Lecythidaceae;OG specialist;OG specialist;14;1;0;0;0;0;0;1;0;0;2;0;0;11;1;0
Licania;affinis;Fritsch;Chrysobalanaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
Licania;hypoleuca;Benth.;Chrysobalanaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Licania;Sp. A;ined.;Chrysobalanaceae;Too rare;Exclusive OG;9;0;0;0;0;0;0;0;0;0;1;3;0;5;0;0
Licaria;misantlae;(Brandegee)Kosterm;Lauraceae;Generalist;OG specialist;11;2;0;0;0;2;0;0;0;0;0;2;1;8;0;0
Licaria;sarapiquensis;Hammel;Lauraceae;Too rare;Generalist;8;2;0;0;0;1;0;0;0;1;0;2;0;3;1;2
Lonchocarpus;latisiliquus;M. Sousa;Fabaceae;Too rare;Too rare;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
Lonchocarpus;oliganthus;F. J. Herm.;Fabaceae;Exclusive OG;Exclusive OG;25;0;0;0;0;0;0;0;0;0;0;0;1;24;0;0
Lozania;pittieri;(S. F. Blake) L. B. Sm.;Lacistemataceae;Too rare;Too rare;2;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0
Luehea;seemannii;Triana & Planch.;Malvaceae;Generalist;SG specialist;3;8;0;0;0;0;0;0;0;8;0;0;0;3;0;0
Mabea;occidentalis;Benth.;Euphorbiaceae;Too rare;Exclusive OG;6;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0
Macrolobium;costaricense;W. Burger;Fabaceae;Generalist;OG specialist;10;2;0;0;0;0;0;1;0;1;0;0;1;9;0;0
Maquira;guianensis;Aubl.;Moraceae;Too rare;Too rare;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1
Maranthes;panamensis;(Standl.) Prance & White;Chrysobalanaceae;Exclusive OG;Exclusive OG;13;0;0;0;0;0;0;0;0;0;5;1;2;3;0;2
Marila;laxiflora;Rusby;Clusiaceae;Too rare;Too rare;3;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1
Marila;pluricostata;Standl. & L. O. Williams;Clusiaceae;Too rare;Exclusive OG;8;0;0;0;0;0;0;0;0;0;2;0;3;3;0;0
Matayba;sp1;;Sapindaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Maytenus;guyanensis;Klotzsch;Celastraceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Meliosma;donnellsmithii;Urb.;Sabiaceae;Too rare;Exclusive OG;9;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0
Miconia;affinis;DC.;Melastomataceae;SG specialist;SG specialist;1;87;7;0;43;4;8;0;5;20;0;0;1;0;0;0
Miconia;appendiculata;Tr.;Melastomataceae;SG specialist;SG specialist;3;16;10;0;0;0;6;0;0;0;3;0;0;0;0;0
Miconia;elata;(Sw.) DC.;Melastomataceae;SG specialist;SG specialist;5;103;48;0;4;17;25;0;1;8;1;1;0;3;0;0
Miconia;minutiflora;(Bonpl.) DC;Melastomataceae;Too rare;Too rare;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Miconia;multispicata;Naud.;Melastomataceae;Generalist;SG specialist;34;58;0;2;1;13;1;7;17;17;1;0;2;30;1;0
Miconia;prasina;(Sw.) DC.;Melastomataceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Miconia;punctata;(Desr.) D. Don ex DC.;Melastomataceae;Generalist;OG specialist;41;14;2;1;0;0;0;0;11;0;21;0;4;7;8;1
Miconia;simplex;Triana;Melastomataceae;Too rare;Exclusive SG;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0
Miconia;sp1;;Melastomataceae;Too rare;Too rare;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Miconia;stevensiana;Almeda;Melastomataceae;Too rare;OG specialist;8;1;0;0;0;0;0;0;0;1;3;2;0;3;0;0
Minquartia;guianensis;Aubl.;Olacaceae;OG specialist;OG specialist;80;6;1;1;1;0;0;0;2;1;6;6;2;47;4;15
Mollinedia;costaricensis;Donn. Sm.;Monimiaceae;Too rare;Too rare;1;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0
Mouriri;gleasoniana;Standley ex Stand. & Steryerm.;Melastomataceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Moutabea;gentryi;T. Wendt;Polygalaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Myrcia;splendens;(Sw.) DC.;Myrtaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
Myrciaria;floribunda;(West ex Willd.) O. Berg;Myrtaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Naucleopsis;naga;Pittier;Moraceae;OG specialist;OG specialist;66;2;0;0;0;0;0;0;1;1;4;0;1;45;0;16
Nectandra;cissiflora;Nees;Lauraceae;Exclusive OG;Exclusive OG;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
Nectandra;hypoleuca;Hammel;Lauraceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Nectandra;membranacea;(Sw.) Griseb.;Lauraceae;SG specialist;SG specialist;1;7;0;1;0;0;0;0;0;6;0;0;1;0;0;0
Nectandra;umbrosa;(Kunth) Mez;Lauraceae;Too rare;Generalist;5;3;0;0;0;0;0;0;2;1;4;0;0;0;1;0
Neea;amplifolia;Donn. Sm.;Nyctaginaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Neea;elegans;P.H.Allen-vel aff.;Nyctaginaceae;Too rare;Too rare;3;3;0;0;0;1;0;0;1;1;2;0;0;1;0;0
Neea;laetevirens;Standl.;Nyctaginaceae;SG specialist;SG specialist;1;8;0;0;0;0;0;0;0;8;0;0;0;1;0;0
Ochroma;pyramidale;(Cav. ex Lam.) Urb.;Malvaceae;Generalist;Generalist;3;6;0;0;0;0;0;0;0;6;0;0;3;0;0;0
Ocotea;atirrensis;Mez & Donn. Sm. ex Mez;Lauraceae;Too rare;Too rare;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Ocotea;bijuga;(Rottb.) Bernardi vel sp. aff.;Lauraceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1
Ocotea;cernua;(Nees) Mez;Lauraceae;Too rare;Generalist;5;2;0;0;0;0;0;2;0;0;0;0;0;3;2;0
Ocotea;floribunda;(Sw.) Mez;Lauraceae;Too rare;OG specialist;8;1;0;0;0;1;0;0;0;0;0;0;1;2;0;5
Ocotea;hartshorniana;Hammel;Lauraceae;Generalist;OG specialist;13;2;0;2;0;0;0;0;0;0;0;1;0;11;0;1
Ocotea;insularis;(Meisn.) Mez;Lauraceae;Too rare;Generalist;5;3;0;0;3;0;0;0;0;0;0;0;1;4;0;0
Ocotea;laetevirens;Stanl & Steyerm.;Lauraceae;Generalist;OG specialist;23;7;0;0;0;0;0;2;3;2;1;4;1;16;1;0
Ocotea;leucoxylon;(Sw.) Laness;Lauraceae;Generalist;Generalist;11;6;0;0;2;0;1;1;2;0;0;1;0;5;4;1
Ocotea;macropoda;(Kunth) Mez;Lauraceae;Exclusive SG;Exclusive SG;0;11;0;0;0;0;0;0;1;10;0;0;0;0;0;0
Ocotea;mollifolia;Mez & Pittier ex Mez;Lauraceae;Generalist;Generalist;8;3;0;0;0;1;0;2;0;0;0;0;1;7;0;0
Ocotea;pentagona;Mez;Lauraceae;Too rare;Too rare;3;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0
Ocotea;sp1;;Lauraceae;Too rare;Exclusive OG;6;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0
Ormosia;intermedia;N.Zamora;Fabaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
Ormosia;velutina;Rudd (BEH);Fabaceae;Too rare;Too rare;2;3;0;0;0;3;0;0;0;0;1;0;1;0;0;0
Ossaea;brenesii;Standl.;Melastomataceae;Too rare;Too rare;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Otoba;novogranatensis;Moldenke;Myristicaceae;Exclusive OG;Exclusive OG;15;0;0;0;0;0;0;0;0;0;0;0;1;12;2;0
Ouratea;valerioi;Standl.;Ochnaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Pachira;aquatica;Aubl.;Malvaceae;Too rare;OG specialist;8;1;0;0;0;0;0;1;0;0;0;0;3;5;0;0
Parathesis;trichogyne;Hemsl;Myrsinaceae;Generalist;OG specialist;9;2;0;1;0;0;0;0;0;1;0;1;1;7;0;0
Pausandra;trianae;(Mull. Arg.) Baill.;Euphorbiaceae;Exclusive OG;Exclusive OG;12;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0
Pentaclethra;macroloba;(Willd.) 0. Ktze.;Fabaceae;Generalist;Generalist;1014;829;96;95;178;0;71;99;106;184;70;39;62;695;32;116
Pera;arborea;Mutis;Euphorbiaceae;Too rare;Exclusive OG;6;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0
Perebea;angustifolia;(Poepp. & Endl.) C. C.;Moraceae;Too rare;Exclusive OG;8;0;0;0;0;0;0;0;0;0;1;1;0;6;0;0
Persea;americana;Mill;Lauraceae;SG specialist;SG specialist;1;12;5;0;0;0;5;0;2;0;0;0;0;1;0;0
Persea;laevifolia;van der Werff;Lauraceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Persea;silvatica;Van der Werff;Lauraceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
Peschiera;arborea;(Rose) Markgr.;Apocynaceae;Exclusive OG;Exclusive OG;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
Phyllanthus;skutchii;Standl.;Phyllanthaceae;Too rare;Too rare;0;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0
Pinzona;coriacea;Mart. & Zucc.;Dilleniaceae;Too rare;Too rare;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Piper;colonense;C. DC.;Piperaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Pleuranthodendron;lindenii;(Turcz.) Sleumer;Salicaceae;Too rare;OG specialist;9;1;0;0;1;0;0;0;0;0;0;0;0;9;0;0
Posoqueria;grandiflora;Standl.;Rubiaceae;Too rare;Too rare;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Posoqueria;maxima;Standl.;Rubiaceae;Exclusive OG;Exclusive OG;11;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0
Pourouma;bicolor;Mart. ssp.;Urticaceae;Generalist;OG specialist;119;35;2;2;1;0;0;5;20;5;5;4;12;79;2;17
Pourouma;minor;Benoist;Urticaceae;Generalist;OG specialist;54;16;0;2;0;0;0;0;14;0;0;3;3;35;4;9
Pouteria;bracteata;T.D.Penn;Sapotaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pouteria;calistophylla;(Standl) Baehni;Sapotaceae;OG specialist;OG specialist;37;1;0;0;0;0;0;0;0;1;5;6;0;21;5;0
Pouteria;campechiana;(H.B.K.) Baehni;Sapotaceae;Too rare;Generalist;8;2;1;0;0;1;0;0;0;0;3;1;2;1;1;0
Pouteria;durlandii;(Standl.) Baehni;Sapotaceae;OG specialist;OG specialist;25;1;1;0;0;0;0;0;0;0;4;9;2;4;0;6
Pouteria;glomerata;(Miq.) Radlk. ssp.;Sapotaceae;Too rare;Exclusive OG;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6
Pouteria;reticulata;(Engl.) Eyma;Sapotaceae;Exclusive OG;Exclusive OG;15;0;0;0;0;0;0;0;0;0;0;1;1;5;2;6
Pouteria;sp1;;Sapotaceae;Exclusive OG;Exclusive OG;25;0;0;0;0;0;0;0;0;0;4;0;0;21;0;0
Pouteria;torta;(Mart.) Radlk. ssp. tuberculata (Sleumer) T. D. Penn;Sapotaceae;OG specialist;OG specialist;21;2;0;1;0;0;0;0;0;1;2;1;1;11;5;1
Protium;confusum;(Rose) Pittier;Burseraceae;OG specialist;OG specialist;56;3;0;0;0;0;0;0;0;3;5;3;3;35;3;7
Protium;glabrum;(Rose) Engl.;Burseraceae;OG specialist;OG specialist;24;4;0;0;0;0;0;0;0;4;0;0;12;0;5;7
Protium;panamense;(Rose) I. M. Johnston;Burseraceae;OG specialist;OG specialist;107;7;0;2;1;3;0;1;0;0;3;6;0;94;0;4
Protium;pittieri;(Rose) Engler;Burseraceae;OG specialist;OG specialist;181;10;0;0;2;0;0;3;2;3;4;18;4;116;22;17
Protium;ravenii;D. Porter;Burseraceae;OG specialist;OG specialist;79;8;0;2;0;0;0;0;3;3;23;5;0;41;1;9
Pseudolmedia;spuria;(Sw.) Griseb.;Moraceae;Too rare;Exclusive OG;7;0;0;0;0;0;0;0;0;0;3;1;1;1;0;1
Psidium;guajava;L.;Myrtaceae;Too rare;Too rare;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0
Psychotria;calidicola;C. M. Taylor;Rubiaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
Psychotria;elata;(Sw.) Hammel;Rubiaceae;Too rare;Too rare;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Psychotria;gracilenta;MŸll. Arg.;Rubiaceae;Too rare;Too rare;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Psychotria;luxurians;Rusby;Rubiaceae;Too rare;Too rare;5;1;1;0;0;0;0;0;0;0;0;0;0;5;0;0
Psychotria;panamensis;Standl.;Rubiaceae;OG specialist;OG specialist;12;1;0;0;1;0;0;0;0;0;0;0;1;10;0;1
Pterocarpus;hayesii;Hemsl.;Fabaceae;Too rare;Too rare;2;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0
Pterocarpus;officinalis;Jacq.;Fabaceae;OG specialist;OG specialist;15;1;0;0;0;0;0;0;0;1;0;0;0;15;0;0
Pterocarpus;rohrii;Vahl;Fabaceae;Generalist;Generalist;10;5;0;0;0;0;0;3;0;2;0;1;1;0;2;6
Qualea;polychroma;Stafleu;Vochysiaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Quararibea;bracteolosa;(Ducke) K. Schum.;Malvaceae;OG specialist;OG specialist;34;1;0;0;0;0;0;1;0;0;5;2;0;21;1;5
Quararibea;ochrocalyx;(K. Schum.) Vischer;Malvaceae;Exclusive OG;Exclusive OG;45;0;0;0;0;0;0;0;0;0;0;12;3;20;1;9
Quararibea;parvifolia;Standl.;Malvaceae;Too rare;Exclusive OG;7;0;0;0;0;0;0;0;0;0;2;0;4;1;0;0
Quiina;macrophylla;Tul.;Quiinaceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1
Rauvolfia;purpurascens;Standl.;Apocynaceae;Generalist;OG specialist;35;8;0;0;0;1;0;5;0;2;0;2;0;30;0;3
Rhodostemonodaphne;kunthiana;Rohwer;Lauraceae;Generalist;Generalist;5;7;0;0;3;1;2;0;1;0;1;0;1;3;0;0
Richeria;obovata;(Mull.Arg) Pax & K. Hof;Phyllanthaceae;Exclusive OG;Exclusive OG;10;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0
Rinorea;deflexiflora;H. H. Bartl.;Violaceae;Exclusive OG;Exclusive OG;47;0;0;0;0;0;0;0;0;0;3;0;0;33;0;11
Rollinia;pittieri;Standl.;Annonaceae;SG specialist;SG specialist;5;87;3;13;15;3;9;0;40;4;0;0;1;3;0;1
Rourea;glabra;Kunth;Connaraceae;Too rare;Too rare;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
