Genus;Species;Author;Family;Classification K = 2/3;Classification K = 1/2;Total OG;Total SG;BEJ (SG);CR (SG);LSUR (SG);TIR (SG);JE (SG);LEP (SG);Finegan (SG);Letcher (SG);SV (OG);LEPviejo (OG);La Martita (OG);Clark (OG);Letcher (OG);TEAMplot (OG)
Trophis;involucrata;W. Burger;Moraceae;Too rare;Too rare;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Unonopsis;hammelii;G. E. Schatz-ined.;Annonaceae;Too rare;Exclusive OG;8;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3
Unonopsis;pittieri;Safford;Annonaceae;OG specialist;OG specialist;23;2;0;0;2;0;0;0;0;0;4;4;0;9;0;6
Vantanea;occidentalis;Cuatrec;Humiriaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Vernonia;patens;Kunth;Asteraceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Virola;koschnyi;Warb.;Myristicaceae;Generalist;Generalist;66;38;8;4;7;3;3;1;0;12;1;5;3;45;5;7
Virola;multiflora;(Standl.) A.C. Sm.;Myristicaceae;Too rare;Exclusive OG;9;0;0;0;0;0;0;0;0;0;7;0;1;0;1;0
Virola;sebifera;Aubl.;Myristicaceae;Generalist;Generalist;90;78;6;7;15;6;7;15;6;16;2;8;2;67;4;7
Vismia;baccifera;Duchass. & Walp.;Hypericaceae;Exclusive SG;Exclusive SG;0;23;0;0;1;8;9;0;0;5;0;0;0;0;0;0
Vismia;billbergiana;Beurl.;Hypericaceae;Too rare;Too rare;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0
Vismia;macrophylla;H.B.K.;Hypericaceae;Too rare;SG specialist;1;6;0;0;0;2;1;0;0;3;0;0;1;0;0;0
Vitex;cooperi;Standl.;Lamiaceae;Generalist;Generalist;14;7;0;2;0;1;0;0;1;3;0;2;0;7;3;2
Vochysia;ferruginea;Mart.;Vochysiaceae;SG specialist;SG specialist;31;356;31;16;9;87;28;0;161;24;4;1;8;13;5;0
Vochysia;guatemalensis;Donn. sm;Vochysiaceae;SG specialist;SG specialist;1;24;0;0;0;18;1;0;1;4;0;0;0;1;0;0
Vouarana;anomala;(Steyerm.) Acev.-Rodr;Sapindaceae;Too rare;Too rare;2;2;0;1;0;0;0;1;0;0;1;0;0;0;0;1
Warszewiczia;coccinea;(DC.) Klotzsch;Rubiaceae;OG specialist;OG specialist;201;24;0;17;0;0;0;1;0;6;3;5;2;171;7;13
Welfia;regia;Wendl. ex Andr‚;Arecaceae;OG specialist;OG specialist;667;24;0;4;0;0;1;0;14;5;91;51;37;383;35;70
Xylopia;bocatorena;Schery;Annonaceae;Too rare;Too rare;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Xylopia;sericophylla;Standl. & L. 0. Wms.;Annonaceae;SG specialist;SG specialist;12;101;15;31;25;0;12;3;10;5;1;1;7;2;1;0
Zanthoxylum;ekmanii;(Urb.) Alain.;Rutaceae;Exclusive SG;Exclusive SG;0;8;0;0;0;0;0;0;7;1;0;0;0;0;0;0
Zanthoxylum;panamense;P. Wils.;Rutaceae;Exclusive SG;Exclusive SG;0;45;14;13;0;4;8;1;0;5;0;0;0;0;0;0
Zanthoxylum;riedelianum;Engl.;Rutaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Zygia;gigantifoliola;(Schery) L. Rico;Fabaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
